ssn,age,education,marital-status,relationship,sex,income
267-84-3980,46.0,Some-college,Married-civ-spouse,Husband,,>50K
918-21-2529,20.0,HS-grad,Married-civ-spouse,,Male,
886-64-0048,26.0,HS-grad,Widowed,Not-in-family,Male,
590-01-8426,25.0,,Married-civ-spouse,,,>50K
852-21-1301,37.0,7th-8th,Married-civ-spouse,Husband,Male,>50K
875-79-8524,22.0,HS-grad,Divorced,Own-child,Male,
091-55-4053,42.0,9th,Never-married,Not-in-family,Female,>50K
335-53-4397,18.0,Some-college,Never-married,Not-in-family,Female,
548-37-2235,30.0,Masters,Married-civ-spouse,Husband,Male,
696-62-1620,23.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
283-81-4496,50.0,,Divorced,,Female,
509-67-4446,33.0,11th,Married-civ-spouse,Husband,,>50K
610-99-5085,51.0,,Married-civ-spouse,Wife,Female,
314-03-5626,31.0,HS-grad,Married-civ-spouse,,Male,
397-88-0834,63.0,HS-grad,Married-civ-spouse,Husband,,<=50K
294-44-1031,25.0,Masters,Married-civ-spouse,Husband,Male,<=50K
174-66-2161,64.0,HS-grad,,Husband,Male,<=50K
627-94-8402,,10th,Married-civ-spouse,Husband,Male,
768-98-0343,35.0,,Married-civ-spouse,Husband,Male,
179-02-3341,24.0,11th,,Own-child,,
740-69-4102,24.0,,Married-civ-spouse,Husband,Male,
045-08-5995,36.0,,Never-married,Other-relative,Female,
850-52-2112,53.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
819-13-3905,28.0,Bachelors,Married-civ-spouse,Husband,,
678-04-0539,45.0,HS-grad,Never-married,Not-in-family,Male,<=50K
684-15-2333,44.0,,,Unmarried,,
454-63-7591,61.0,HS-grad,Married-civ-spouse,,Male,<=50K
075-82-9238,66.0,HS-grad,Divorced,Other-relative,,
350-12-2849,34.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
928-77-7640,28.0,,Married-civ-spouse,Husband,,<=50K
068-64-2506,42.0,,Married-civ-spouse,Husband,,<=50K
